birthdate,age,category,facility_id,join_date,retire_date,team_name,gender
1986-02-20,36,adult,1.0,2020-03-17,,Toronto Eagles,M
1990-07-15,31,adult,1.0,2020-10-15,,Toronto Eagles,M
1981-10-04,40,adult,1.0,2021-11-07,,Toronto Eagles,M
1981-11-27,40,adult,1.0,2021-04-03,,Toronto Eagles,M
1986-04-07,36,adult,1.0,2020-02-25,,Toronto Eagles,M
1987-09-26,34,adult,1.0,2019-07-06,,Toronto Eagles,M
1990-04-09,32,adult,1.0,2022-05-11,,Toronto Eagles,M
1994-08-20,27,adult,1.0,2021-07-18,,Toronto Eagles,M
1988-01-03,34,adult,1.0,2020-06-07,,Ice Sabres,M
1976-10-14,45,adult,1.0,2020-02-18,,Ice Sabres,M
1996-05-10,26,adult,1.0,2019-09-30,,Ice Sabres,M
1981-05-01,41,adult,1.0,2020-06-19,,Ice Sabres,M
1982-08-30,39,adult,1.0,2020-05-22,,Ice Sabres,M
1995-03-30,27,adult,1.0,2020-08-01,,Ice Sabres,M
1986-09-07,35,adult,1.0,2020-02-29,,Ice Sabres,M
1985-10-23,36,adult,1.0,2020-10-02,,Toronto Penguins,F
1998-06-15,23,adult,1.0,2020-07-26,,Toronto Penguins,F
1982-10-18,39,adult,1.0,2019-11-22,,Toronto Penguins,F
1995-09-02,26,adult,1.0,2021-09-03,,Toronto Penguins,F
1999-10-30,22,adult,1.0,2020-11-21,,Toronto Penguins,F
1983-04-29,39,adult,1.0,2022-03-29,,Toronto Penguins,F
1989-01-23,33,adult,1.0,2021-12-23,,Ice Cougars,F
1989-11-01,32,adult,1.0,2020-04-13,,Ice Cougars,F
1972-09-16,49,adult,1.0,2022-05-17,,Ice Cougars,F
1973-06-11,48,adult,1.0,2021-03-21,,Ice Cougars,F
1981-09-21,40,adult,1.0,2019-12-05,,Ice Cougars,F
1978-02-03,44,adult,2.0,2022-04-15,,Cold Colts,M
1996-06-11,25,adult,2.0,2019-08-31,,Cold Colts,M
1974-03-25,48,adult,2.0,2020-08-02,,Cold Colts,M
1974-07-19,47,adult,2.0,2019-11-20,,Cold Colts,M
1974-10-26,47,adult,2.0,2019-06-29,,Cold Colts,M
1983-09-07,38,adult,2.0,2019-08-30,,Cold Colts,M
1995-04-29,27,adult,2.0,2020-03-24,,Montreal Bruins,M
1984-09-07,37,adult,2.0,2020-07-13,,Montreal Bruins,M
1980-02-28,42,adult,2.0,2019-09-02,,Montreal Bruins,M
1985-02-24,37,adult,2.0,2021-08-18,,Montreal Bruins,M
1983-03-29,39,adult,2.0,2019-08-17,,Montreal Bruins,M
1991-03-14,31,adult,2.0,2019-07-10,,Ice Bulls,M
1980-01-19,42,adult,2.0,2021-04-01,,Ice Bulls,M
1995-10-31,26,adult,2.0,2021-05-09,,Ice Bulls,M
1974-12-11,47,adult,2.0,2021-11-02,,Ice Bulls,M
1978-08-04,43,adult,2.0,2021-12-15,,Ice Bulls,M
1981-02-17,41,adult,2.0,2020-05-01,,Montreal Raiders,M
1991-12-10,30,adult,2.0,2019-08-18,,Montreal Raiders,M
1975-04-07,47,adult,2.0,2020-07-06,,Montreal Raiders,M
1975-12-31,46,adult,2.0,2019-08-02,,Montreal Raiders,M
1974-05-16,48,adult,2.0,2021-05-18,,Montreal Raiders,M
1987-12-23,34,adult,2.0,2020-01-08,,Montreal Raiders,M
1995-06-22,26,adult,2.0,2021-01-23,,Montreal Raiders,M
1975-12-30,46,adult,3.0,2020-07-15,,Calgary Cubs,M
1993-01-03,29,adult,3.0,2022-01-11,,Calgary Cubs,M
1979-09-01,42,adult,3.0,2020-09-26,,Calgary Cubs,M
1980-04-15,42,adult,3.0,2019-07-29,,Calgary Cubs,M
1992-10-24,29,adult,3.0,2019-07-20,,Calgary Rockets,M
1995-02-15,27,adult,3.0,2021-06-18,,Calgary Rockets,M
1979-08-26,42,adult,3.0,2019-09-28,,Calgary Rockets,M
1977-04-24,45,adult,3.0,2020-05-31,,Calgary Rockets,M
1982-02-10,40,adult,3.0,2021-03-27,,Calgary Rockets,M
1986-05-29,36,adult,3.0,2021-03-19,,Calgary Rockets,M
1972-12-30,49,adult,3.0,2021-02-10,,Calgary Rockets,M
1976-05-01,46,adult,3.0,2020-01-12,,Calgary Fleur-de-Lys,M
1973-11-09,48,adult,3.0,2020-05-02,,Calgary Fleur-de-Lys,M
1975-10-12,46,adult,3.0,2020-01-16,,Calgary Fleur-de-Lys,M
1999-10-08,22,adult,3.0,2022-05-12,,Calgary Fleur-de-Lys,M
1986-08-07,35,adult,3.0,2021-10-20,,Calgary Fleur-de-Lys,M
1979-08-11,42,adult,3.0,2019-09-30,,Calgary Fleur-de-Lys,M
1996-01-13,26,adult,3.0,2019-08-15,,Calgary Fleur-de-Lys,M
1978-01-15,44,adult,3.0,2021-11-20,,Calgary Cougars,M
1989-08-01,32,adult,3.0,2021-05-29,,Calgary Cougars,M
1974-06-05,47,adult,3.0,2020-06-05,,Calgary Cougars,M
1999-05-23,23,adult,3.0,2020-07-18,,Calgary Cougars,M
1973-10-27,48,adult,3.0,2022-02-21,,Cold Huskies,M
1976-05-03,46,adult,3.0,2021-05-29,,Cold Huskies,M
1992-11-24,29,adult,3.0,2021-05-05,,Cold Huskies,M
1994-11-23,27,adult,3.0,2019-10-03,,Cold Huskies,F
1993-05-31,28,adult,3.0,2022-03-26,,Cold Huskies,F
1973-12-27,48,adult,3.0,2019-08-07,,Cold Huskies,F
1986-05-16,36,adult,3.0,2022-05-05,,Cold Huskies,F
1980-09-18,41,adult,3.0,2022-03-21,,Cold Huskies,M
1974-11-18,47,adult,3.0,2021-08-16,,Calgary Bruins,F
1973-09-10,48,adult,3.0,2019-09-15,,Calgary Bruins,M
1996-05-13,26,adult,3.0,2019-10-20,,Calgary Bruins,M
1994-03-02,28,adult,3.0,2020-07-10,,Calgary Bruins,M
1972-08-06,49,adult,3.0,2021-05-24,,Calgary Bruins,F
1981-12-03,40,adult,3.0,2022-02-27,,Calgary Bruins,M
1976-07-10,45,adult,4.0,2020-12-28,,Ottawa Victorias,M
1986-01-17,36,adult,4.0,2022-03-15,,Ottawa Victorias,M
1982-11-03,39,adult,4.0,2021-03-02,,Ottawa Victorias,M
1990-07-11,31,adult,4.0,2020-06-13,,Ottawa Victorias,M
1984-06-05,37,adult,4.0,2020-09-10,,Ottawa Victorias,M
1987-07-05,34,adult,4.0,2021-03-06,,Ottawa Victorias,M
1987-05-24,35,adult,4.0,2020-07-13,,Ottawa Victorias,M
1984-05-23,38,adult,4.0,2022-02-27,,Cold Travelways,M
1979-11-19,42,adult,4.0,2020-06-03,,Cold Travelways,M
1974-04-03,48,adult,4.0,2020-09-04,,Cold Travelways,M
1984-11-07,37,adult,4.0,2020-07-17,,Cold Travelways,M
1987-08-29,34,adult,4.0,2019-12-12,,Cold Travelways,M
1979-05-18,43,adult,4.0,2021-03-19,,Cold Travelways,M
1989-07-27,32,adult,4.0,2022-04-02,,Cold Travelways,M
1976-10-11,45,adult,4.0,2022-04-20,,Game of Stones,F
1987-01-18,35,adult,4.0,2020-12-17,,Game of Stones,F
1992-07-14,29,adult,4.0,2020-07-24,,Game of Stones,F
1987-08-08,34,adult,4.0,2020-05-15,,Game of Stones,F
1975-07-18,46,adult,5.0,2021-04-17,,Vancouver Fury,M
1988-08-15,33,adult,5.0,2021-07-01,,Vancouver Fury,M
1989-08-14,32,adult,5.0,2019-10-15,,Vancouver Fury,M
1996-01-12,26,adult,5.0,2021-01-06,,Vancouver Fury,M
1994-11-19,27,adult,5.0,2020-05-03,,Vancouver Fury,M
1984-10-19,37,adult,5.0,2020-09-27,,Vancouver Fury,M
1993-05-22,29,adult,5.0,2021-09-12,,Vancouver Fury,M
1996-12-22,25,adult,5.0,2020-03-18,,Vancouver Fury,M
1998-03-19,24,adult,5.0,2020-10-29,,Vancouver Islanders,F
1972-06-17,49,adult,5.0,2020-03-04,,Vancouver Islanders,F
1997-08-05,24,adult,5.0,2020-05-13,,Vancouver Islanders,F
1991-01-19,31,adult,5.0,2021-11-11,,Vancouver Islanders,F
1988-09-22,33,adult,5.0,2022-04-07,,Vancouver Islanders,F
1993-12-05,28,adult,5.0,2020-07-23,,Vancouver Islanders,F
1973-12-12,48,adult,5.0,2021-03-25,,Vancouver Islanders,F
